,Zona Central,Zona Norte,Zona Sur,Zona Este,Zona Oeste,Zona Nordeste,Zona Noroeste,Zona Sudeste,Zona Sudoeste,Zona Cerro-Argüello,Zona Guiñazú
0,Cáceres,Parque Liceo Sección 1,Mirizzi,General Pueyrredón,Ampliación Las Palmas,La Hortensia,San Martín Anexo,José Ignacio Díaz Sección 5,Guarnición Aérea Córdoba,Villa Serrana,Guiñazú Sud
1,Güemes,Cofico,Irupé,Yofre Sud,Chateau Carreras,Residencial Aragón,San Martín Norte,Mirador,Ampliación Rosedal,Parque Modelo,Guiñazú
2,Nueva Córdoba,Jerónimo Luis de Cabrera,San Antonio,Hogar Propio,Puente Blanco,Vivero Norte,Las Margaritas,Ampliación San Pablo,Parque Republica,UOCRA,Remedios de Escalada
3,Observatorio,Ampliación Panamericano,Cabo Farina,Juniors,Ampliación Los Plátanos,Villa Retiro,Lomas de San Martín,Villa Revol,Achával Peña,Granja de Funes,Recreo del Norte
4,Paso de los Andes,Panamericano,Vicor,Ampliación Yapeyú,Villa Siburu,Parque Liceo Sección 3,Altos de Villa Cabrera,Ferroviario Mitre,Residencial Olivos,Villa 9 de Julio,Liceo General Paz
5,Bajada San Roque,Ayacucho,Iponá,Villa Claudina,Ombú,Yofre H,Altos de San Martín,Parque San Carlos,Rosedal,San Marcelo,Villa Gran Parque
6,Parque Sarmiento,Independencia,Ejército Argentino,Los Pinos,Lamadrid,Quintas de San Jorge,Ampliación Poeta Lugones,1 de Mayo,Ampliación Benjamín Matienzo,Quintas de Argüello,Villa Alicia Risler
7,Providencia,Ampliación Residencial América,Country Club,Yofre I,El Trebol,Guayaquil,Las Magnolias,Ituzaingó,Industrial Oeste,Tablada Park,
8,Centro,Parque Jorge Newbery,San Fernando,Ampliación Pueyrredón,Covico,General Belgrano,Villa Cabrera,Acosta,Los Filtros,Villa Argüello,
9,Cupani,Los Álamos,Las Flores,Palmar,Quebrada de las Rosas,Finca La Dorotea,La France,Almirante Brown,Rosedal Anexo,Cerro Norte,
10,Rogelio Martinez,General Savio,Santa Isabel Sección 3,General Paz,Las Palmas,Nueva Italia,Bajo Galán,Empalme Casas de Obreros y Empleados,Primera Junta,Colinas del Cerro,
11,Ducasse,Juan B. Justo,Santa Isabel Sección 1,Bajada de Piedra,Villa Páez,San Nicolás,Sargento Cabral,San Lorenzo,Las Playas,Silvano Funes,
12,Maurizi,Alta Córdoba,Kennedy,La Floresta,La Toma,Villa Esquiú,Parque Chacabuco,Urquiza,El Pueblito,Alto Hermoso,
13,Bella Vista,General Bustos,SEP,Yapeyú,Las Delicias,Santa Clara de Asís,San Lorenzo Norte,San Felipe,Carola Lorenzini,Policial,
14,Quinta Santa Ana,20 de Junio,Los Olmos,Bajo General Paz,Córdoba 5,Residencial San Jorge,Ana Maria Zumarán,José Ignacio Díaz,Aeronáutico,Los Boulevares,
15,Alberdi,Centro América,Villa San Carlos,Ampliación Palmar,Uritorco,Villa Corina,San Salvador,Jardín del Pilar,Estación Flores,Mercantil,
16,,Parque Liceo Sección 2,Jardín Espinosa,Patria,Villa Alberdi,Patricios Este,Marqués de Sobremonte,Los Ceibos,Bella Vista Oeste,Villa Cornu,
17,,Villa Azalais Oeste,Ampliación Jardín Espinosa,Estancia La Lucila,Lomas del Suquía,Patricios Oeste,Villa 4 de Agosto,Jardín del Sud,Avenida,Padre Claret Anexo,
18,,Hipólito Yrigoyen,Parque Los Molinos,,Obrero,General Mosconi,San Martín,José Ignacio Díaz Sección 4,Villa Aspacia,Parque Tablada,
19,,Residencial América,Inaudi,,Parque Don Bosco,Patricios Norte,Los Principios,Ampliación Cerveceros,Colinas de Bella Vista,Valle del Cerro,
20,,Marcelo T. de Alvear,Villa El Libertador,,Los Robles,Arturo Capdevila,Granadero Pringles,Ituzaingó Anexo,Mariano Balcarce,Arcos I,
21,,La Fraternidad,Santa Rosa,,Parque de la Vega Tres,Parque Montecristo,Los Paraísos,Residencial San Carlos,San Rafael,Argüello,
22,,Mariano Fragueiro,Sacchi,,Residencial Chateau,Yofre Norte,Alto Verde,San Vicente,Teniente Benjamín Matienzo,Carolina,
23,,Los Gigantes,Res. Vélez Sársfield,,Palermo Bajo,Talleres Oeste,Poeta Lugones,Renacimiento,Ameghino Norte,Villa Rivera Indarte,
24,,Pque. Liceo I,SMATA,,Alto Alberdi,General Arenales,Chacra del Norte,Crisol Norte,Suárez,Padre Claret,
25,,Amp. Res. America,Santa Isabel Sección 2,,Villa General Urquiza,Patricios,Altos del Chateau,Nicolás Avellaneda,San Francisco,Portal del Jacarandá,
26,,Soles Serranos,Carrara,,San Ignacio,Villa Azalais,Zumaran,Cooperativa La Unidad,Parque Capital Sud,La Carolina,
27,,,Altos de Vélez Sársfield,,Tranviarios,Talleres Este,Alto Villasol,Déan Funes,Residencial San Roque,Villa Los Angeles,
28,,,Ampliación Cabo Farina,,Marechal,San Ramón,,Crisol Sud,Los Granados,Argüello Norte,
29,,,Posta de Vargas,,René Favaloro,,,Ferreyra,Los Naranjos,Argüello Lourdes,
30,,,Jardín,,Comandante Espora,,,Maldonado,ATE,Santa Cecilia,
31,,,Parque Vélez Sársfield,,Escobar,,,Ramón J. Cárcano,Las Violetas,Alborada Sur,
32,,,Ciudadela,,Militar General Deheza,,,Oña,Residencial Santa Ana,Brigadier San Martín,
33,,,Parque Futura,,Consorcio Esperanza,,,Marcos Sastre,Villa Martínez,Villa Solferino,
34,,,San Daniel,,Las Palmas Anexo,,,San Cayetano,Ferrer,Rivera Indarte,
35,,,Kairos,,Córdoba 4,,,Ampliación Altamira,Juan XXIII,Colinas del Cerro Ampliación,
36,,,Ampliación Kennedy,,Caseros,,,OSN,Los Plátanos,Urca,
37,,,Jardín Hipódromo,,Teodoro Felds,,,Villa Revol Anexo,Alberto,Portal de Jacarandáes,
38,,,Santa Rita,,Las Dalias,,,Empalme,Ameghino Sud,Autódromo,
39,,,San Luis de Francia,,Villa Mafekin,,,Mauller,Guarnición Militar Córdoba,Villa Warcalde,
40,,,Parque Atlántica,,Los Jacarandáes,,,Colonia Lola,Villa Adela,Villa Saldán,
41,,,Residencial Sud,,Las Rosas,,,Los Josefinos,Villa Unión,Parque Gorema,
42,,,Parque Horizonte,,Siete Soles,,,Villa Coronel Olmedo,Parque Capital,Alborada Sud,
43,,,Parque Alameda,,La Rufina,,,Nuestro Hogar I,Matienzo,Quisquisacate,
44,,,Jockey Club,,Valle Escondido,,,Betania,,San José,
45,,,Nuestro Hogar III,,El Rodeo,,,Colón,,Alejandro Centeno,
46,,,Ampliación San Fernando,,La Cuesta,,,Ampliación 1 de Mayo,,El Refugio,
47,,,Villa Rivadavia,,El Bosque,,,Altamira,,Cerro Chico,
48,,,General Artigas,,Lomas de la Carolina,,,Altos Sud de San Vicente,,Lasalle,
49,,,El Cabildo,,La Rufina,,,Villa Argentina,,Villa Belgrano,
50,,,Fortin del Pozo,,Cuesta Colorada,,,Maipú Sección 1,,La Salle,
51,,,Comercial,,Tejas III,,,Los Eucaliptus,,Alborada Norte,
52,,,California,,La Estanzuela,,,Boedo,,Cerro de las Rosas,
53,,,Carbó,,Las Cañitas,,,Talleres Sud,,Centenario,
54,,,Parque Latino,,Docta,,,Ampliación Empalme,,Alto Palermo,
55,,,Ampliación Vélez Sársfield,,Los Prados,,,Miralta,,Villa Marta,
56,,,Villa Eucarística,,Terrazas de La Estanzuela,,,Emaus,,Villa Allende Parque,
57,,,San Pedro Nolasco,,Nuevo Urca,,,José Ignacio Díaz Sección 3,,La Herradura,
58,,,Colinas de Vélez Sársfield,,Paso de Piedra,,,Sarmiento,,San Isidro,
59,,,Congreso,,Valle del Golf,,,José Ignacio Díaz Sección 2,,Comarca de Allende,
60,,,Los Olmos Sud,,Acquavista,,,Los Sauces,,Palmas de Claret,
61,,,Greenville 2,,Estación del Carmen,,,Villa Bustos,,Condor Alto,
62,,,Claros del Bosque,,Lomas del Chateau,,,San Pablo,,La Reserva,
63,,,Manantiales,,Altos de La Calera,,,Nueva Córdoba Anexa,,Cuatro Hojas,
64,,,Solares de Santa María,,Malagueño,,,Cabaña del Pilar,,Villa Catalina,
65,,,Altos de Manantiales,,La Calera,,,4 de Febrero,,Lomas Este,
66,,,Ayres del Sur,,,,,IPV Ituzaingó Anexo,,Santina Norte,
67,,,Cañuelas,,,,,Maipú Sección 2,,San Alfonso del Talar,
68,,,Miradores de Manantiales,,,,,José Ignacio Rucci,,Estancia Q2,
69,,,Los Mimbres,,,,,San Javier,,Jardín Claret,
70,,,Tejas del Sur I,,,,,Las Lilas,,Golf,
71,,,Tejas del Sur II,,,,,Villa Ávalos,,Cinco Lomas,
72,,,Fortín del Pozo,,,,,Bialet Massé,,La Paloma,
73,,,Fincas del Sur I,,,,,Corral de Palos,,Chacras de la Villa,
74,,,Fincas Del Sur II,,,,,Industrial Este,,La Morada,
75,,,Chacra del Sur,,,,,Rivadavia,,El Talar de Mendiolaza,
76,,,La Paya I,,,,,23 de Abril,,Barrancas Norte,
77,,,La Paya II,,,,,José Hernández,,Jardín de los Boulevares,
78,,,Riberas de Manantiales,,,,,El Quebracho,,Barranquitas,
79,,,La Calandria,,,,,Cerveceros,,Las Corzuelas,
80,,,Jardines del Jockey,,,,,La Cascada,,La Catalina,
81,,,Terranova,,,,,Maipú,,Villa Allende,
82,,,Res. Sud,,,,,,,Mendiolaza Golf,
83,,,La Santina,,,,,,,Valle del Sol,
84,,,Valle Cercano,,,,,,,Solares de San Alfonso,
85,,,Casonas Del Sur,,,,,,,Terrazas de Villa Allende,
86,,,Residencial Vélez Sársfield,,,,,,,Mendiolaza,
87,,,Santa Isabel,,,,,,,Cumbres del Golf,
88,,,Alameda,,,,,,,Cumbres de Villa Allende,
89,,,Chacra Escondida,,,,,,,,
90,,,,,,,,,,,
